49.8,132.9,0.5
60.3,129.3,0.5
75.6,129.0,0.5
87.9,131.7,0.5
96.9,129.6,0.5
111.0,120.0,0.5
115.2,110.7,0.5
120.6,96.9,0.5
127.8,88.5,0.5
135.9,77.4,0.5
135.9,65.1,0.5
133.2,51.3,0.5
128.4,43.2,0.5
119.7,36.3,0.5
105.0,35.7,0.5
90.0,36.3,0.5
82.5,46.2,0.5
82.5,63.6,0.5
83.4,82.2,0.5
77.1,93.9,0.5
61.2,88.5,0.5
55.5,73.5,0.5
57.9,54.6,0.5
66.6,45.0,0.5
75.9,36.3,0.5
79.2,25.5,0.5
78.0,13.2,0.5
65.1,6.0,0.5
50.7,6.0,0.5
36.6,11.7,0.5
29.1,21.3,0.5
24.0,36.9,0.5
24.0,56.1,0.5
29.1,70.8,0.5
24.9,77.7,0.5
13.5,77.7,0.5
6.3,81.6,0.5
5.7,92.7,0.5
6.3,107.7,0.5
8.7,118.2,0.5
15.3,122.7,0.5
24.3,125.4,0.5
31.2,126.0,0.5
40.8,129.6,0.5
49.8,132.9,0.5
